gene,method,wv,rmse,region,r2,mae
phoa,ga,513.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,529.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,532.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,534.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,535.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,543.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,544.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,550.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,558.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,560.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,566.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,579.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,585.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,592.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,598.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
